Código	Estado	Região	2016	2017	2018	2019	2020	2021	2022
2202851	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.70352173
3145703	MG	SD	28.83252144	28.90787888	28.94265175	28.95478058	28.97189713	29.00325203	30.68997383
1718899	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5106455	MT	CO	28.83252144	28.90787888	28.94265175	28.92791557	28.96068001	28.98206902	30.71905708
2203255	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5215801	GO	CO	28.83252144	28.90787888	28.95701981	28.94968987	33.83145142	33.85844803	30.72113228
2111672	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5106273	MT	CO	28.83252144	38.70072556	33.89180756	33.8662262	33.86928558	33.90571976	35.12594223
4310579	RS	SL	28.83252144	38.71938324	38.77519226	38.77226639	38.78940582	38.79862213	30.70202637
2410256	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2870388
2201176	PI	NE	28.83252144	28.90787888	28.94265175	28.93061256	28.96288109	28.96866798	30.69018745
3149002	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	33.80957031	33.87416077	39.56679535
5220702	GO	CO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3140407	MG	SD	28.83252144	48.66013336	48.71909332	48.68532181	48.74173355	48.81338882	35.15790558
1303205	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.97002983	57.58272552
3111150	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2206357	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2210631	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28969955
2210623	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2210391	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3144201	MG	SD	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.70205307
2514453	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29188538
2209450	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.29462051
1600253	AP	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68514442
2205854	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2208551	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2414704	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	33.8356514	33.84545517	35.14536285
2207793	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2403756	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	29.00633049	30.68781853
2205359	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3146602	MG	SD	28.83252144	28.90787888	28.94497108	33.78998947	28.97695351	29.0012722	30.68449974
2512788	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.70088387
2508554	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
